degree,partition,length,rung13,rung14,lmr,witness_ids,conditional_i_pad_floor,certified_i_pad_floor,certified_i_det_upper,exclusion_status,B_predecessor,B_exact_inherited_increment,B_birth_upper,B_bound_kind
26,"(66, 19, 4, 4, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 19, 4, 4, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 19, 4, 3, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(62, 19, 4, 3, 2, 2, 2, 2, 2, 2)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 18, 8, 2, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(62, 18, 8, 2, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 18, 7, 3, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(62, 18, 7, 3, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 18, 7, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 18, 7, 2, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 18, 6, 4, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(62, 18, 6, 4, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 18, 6, 3, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 18, 6, 3, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 18, 6, 2, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(62, 18, 6, 2, 2, 2, 2, 2, 2, 2)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 18, 5, 5, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(62, 18, 5, 5, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 18, 5, 4, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 18, 5, 4, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
