15:27:26 worker desc (desc) pid 2213 starting, delta 8..12
15:27:33 engines for delta=12 built (125318 W-support classes, 18791 plethysm classes) [7s]
15:27:33 chunk delta=12 ell=10: 8961 candidates, 0 already banked
19:01:30   ... 8000/9018 (a>=1: 7424, a=0: 576; one-bit 0, forced 0; memo 15789173 entries, 700 clears) [6090s]
19:04:27   ... 8200/9018 (a>=1: 7623, a=0: 577; one-bit 0, forced 0; memo 3278761 entries, 710 clears) [6268s]
19:07:20   ... 8400/9018 (a>=1: 7823, a=0: 577; one-bit 0, forced 0; memo 8354644 entries, 719 clears) [6441s]
19:10:08   ... 8600/9018 (a>=1: 8022, a=0: 578; one-bit 0, forced 0; memo 7199703 entries, 728 clears) [6609s]
19:12:53   ... 8800/9018 (a>=1: 8222, a=0: 578; one-bit 0, forced 0; memo 16041055 entries, 736 clears) [6774s]
19:15:44   ... 9000/9018 (a>=1: 8422, a=0: 578; one-bit 0, forced 0; memo 11669094 entries, 745 clears) [6945s]
19:15:59 chunk delta=12 ell=9 DONE: 9018 candidates, 8437 cells (a>=1), 581 with a=0; one-bit 0, forced 0; tightest (20, (32, 2, 2, 2, 2, 2, 2, 2, 2), 1, 21) [6960s]
19:15:59 chunk delta=12 ell=8: 8235 candidates, 0 already banked
19:16:29   ... 200/8235 (a>=1: 49, a=0: 151; one-bit 0, forced 0; memo 4394422 entries, 748 clears) [30s]
19:17:56   ... 400/8235 (a>=1: 203, a=0: 197; one-bit 0, forced 0; memo 12403220 entries, 752 clears) [116s]
19:19:35   ... 600/8235 (a>=1: 365, a=0: 235; one-bit 0, forced 0; memo 16036933 entries, 757 clears) [216s]
19:21:39   ... 800/8235 (a>=1: 545, a=0: 255; one-bit 0, forced 0; memo 4012235 entries, 764 clears) [339s]
19:23:47   ... 1000/8235 (a>=1: 728, a=0: 272; one-bit 0, forced 0; memo 15751152 entries, 770 clears) [468s]
19:26:08   ... 1200/8235 (a>=1: 913, a=0: 287; one-bit 0, forced 0; memo 3847579 entries, 778 clears) [609s]
19:28:24   ... 1400/8235 (a>=1: 1111, a=0: 289; one-bit 0, forced 0; memo 14329375 entries, 785 clears) [745s]
19:30:31   ... 1600/8235 (a>=1: 1297, a=0: 303; one-bit 0, forced 0; memo 5528757 entries, 793 clears) [872s]
19:32:59   ... 1800/8235 (a>=1: 1494, a=0: 306; one-bit 0, forced 0; memo 4400349 entries, 801 clears) [1020s]
19:35:24   ... 2000/8235 (a>=1: 1688, a=0: 312; one-bit 0, forced 0; memo 3785963 entries, 809 clears) [1165s]
19:37:25   ... 2200/8235 (a>=1: 1887, a=0: 313; one-bit 0, forced 0; memo 9927585 entries, 817 clears) [1286s]
19:39:23   ... 2400/8235 (a>=1: 2085, a=0: 315; one-bit 0, forced 0; memo 16150904 entries, 825 clears) [1404s]
19:41:39   ... 2600/8235 (a>=1: 2285, a=0: 315; one-bit 0, forced 0; memo 8231621 entries, 834 clears) [1539s]
