[sweep r=2 d=4] lam=(16, 0) a4=1 mult_R=1 B_full=1 T=1 [1, 1] pts=25 -> excess 0 EXACT
[sweep r=3 d=6] lam=(12, 6, 6) a4=5 mult_R=5 B_full=10 T=5 [5, 5] pts=30 -> excess 0 EXACT
[sweep r=3 d=6] lam=(11, 10, 3) a4=2 mult_R=2 B_full=18 T=2 [2, 2] pts=41 -> excess 0 EXACT
[sweep r=3 d=6] lam=(11, 9, 4) a4=2 mult_R=2 B_full=21 T=2 [2, 2] pts=46 -> excess 0 EXACT
[sweep r=3 d=6] lam=(11, 8, 5) a4=4 mult_R=4 B_full=17 T=4 [4, 4] pts=39 -> excess 0 EXACT
[sweep r=3 d=6] lam=(11, 7, 6) a4=2 mult_R=2 B_full=11 T=2 [2, 2] pts=34 -> excess 0 EXACT
[sweep r=3 d=6] lam=(10, 10, 4) a4=4 mult_R=4 B_full=18 T=4 [4, 4] pts=39 -> excess 0 EXACT
[sweep r=3 d=6] lam=(10, 9, 5) a4=2 mult_R=2 B_full=14 T=2 [2, 2] pts=37 -> excess 0 EXACT
[sweep r=3 d=6] lam=(10, 8, 6) a4=4 mult_R=4 B_full=13 T=4 [4, 4] pts=34 -> excess 0 EXACT
[sweep r=3 d=6] lam=(8, 8, 8) a4=2 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
summary r=3 delta=6: {'cells': 49, 'swap_exact': 49, 'swap_weaker': 0, 'total_excess': 0, 'total_mult_R': 138, 'total_B_full': 567}  (4.7s)
wrote /home/claude/gct/results/b13_04/descent_sweep_r3_d6.json
--- done sweep 3 6 (exit 0)
[sweep r=4 d=2] lam=(8, 0, 0, 0) a4=1 mult_R=1 B_full=1 T=1 [1, 1] pts=25 -> excess 0 EXACT
[sweep r=4 d=2] lam=(6, 2, 0, 0) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=4 d=2] lam=(4, 4, 0, 0) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
summary r=4 delta=2: {'cells': 3, 'swap_exact': 3, 'swap_weaker': 0, 'total_excess': 0, 'total_mult_R': 3, 'total_B_full': 5}  (0.0s)
wrote /home/claude/gct/results/b13_04/descent_sweep_r4_d2.json
--- done sweep 4 2 (exit 0)
[sweep r=4 d=3] lam=(12, 0, 0, 0) a4=1 mult_R=1 B_full=1 T=1 [1, 1] pts=25 -> excess 0 EXACT
[sweep r=4 d=3] lam=(10, 2, 0, 0) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=4 d=3] lam=(9, 3, 0, 0) a4=1 mult_R=1 B_full=3 T=1 [1, 1] pts=27 -> excess 0 EXACT
[sweep r=4 d=3] lam=(8, 4, 0, 0) a4=1 mult_R=1 B_full=3 T=1 [1, 1] pts=28 -> excess 0 EXACT
[sweep r=4 d=3] lam=(8, 2, 2, 0) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=4 d=3] lam=(7, 4, 1, 0) a4=1 mult_R=1 B_full=3 T=1 [1, 1] pts=27 -> excess 0 EXACT
[sweep r=4 d=3] lam=(6, 6, 0, 0) a4=1 mult_R=1 B_full=3 T=1 [1, 1] pts=27 -> excess 0 EXACT
[sweep r=4 d=3] lam=(6, 4, 2, 0) a4=1 mult_R=1 B_full=4 T=1 [1, 1] pts=28 -> excess 0 EXACT
[sweep r=4 d=3] lam=(4, 4, 4, 0) a4=1 mult_R=1 B_full=1 T=1 [1, 1] pts=25 -> excess 0 EXACT
summary r=4 delta=3: {'cells': 9, 'swap_exact': 9, 'swap_weaker': 0, 'total_excess': 0, 'total_mult_R': 9, 'total_B_full': 22}  (0.1s)
wrote /home/claude/gct/results/b13_04/descent_sweep_r4_d3.json
--- done sweep 4 3 (exit 0)
[sweep r=4 d=4] lam=(16, 0, 0, 0) a4=1 mult_R=1 B_full=1 T=1 [1, 1] pts=25 -> excess 0 EXACT
[sweep r=4 d=4] lam=(14, 2, 0, 0) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=4 d=4] lam=(13, 3, 0, 0) a4=1 mult_R=1 B_full=3 T=1 [1, 1] pts=27 -> excess 0 EXACT
[sweep r=4 d=4] lam=(12, 4, 0, 0) a4=2 mult_R=2 B_full=4 T=2 [2, 2] pts=28 -> excess 0 EXACT
[sweep r=4 d=4] lam=(12, 2, 2, 0) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=4 d=4] lam=(11, 4, 1, 0) a4=1 mult_R=1 B_full=4 T=1 [1, 1] pts=28 -> excess 0 EXACT
[sweep r=4 d=4] lam=(11, 3, 2, 0) a4=1 mult_R=1 B_full=4 T=1 [1, 1] pts=28 -> excess 0 EXACT
[sweep r=4 d=4] lam=(10, 6, 0, 0) a4=2 mult_R=2 B_full=5 T=2 [2, 2] pts=28 -> excess 0 EXACT
[sweep r=4 d=4] lam=(10, 5, 1, 0) a4=1 mult_R=1 B_full=4 T=1 [1, 1] pts=28 -> excess 0 EXACT
[sweep r=4 d=4] lam=(10, 4, 2, 0) a4=2 mult_R=2 B_full=7 T=2 [2, 2] pts=30 -> excess 0 EXACT
[sweep r=4 d=4] lam=(10, 2, 2, 2) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=4 d=4] lam=(9, 6, 1, 0) a4=1 mult_R=1 B_full=5 T=1 [1, 1] pts=32 -> excess 0 EXACT
[sweep r=4 d=4] lam=(9, 5, 2, 0) a4=1 mult_R=1 B_full=7 T=1 [1, 1] pts=31 -> excess 0 EXACT
[sweep r=4 d=4] lam=(9, 4, 3, 0) a4=1 mult_R=1 B_full=5 T=1 [1, 1] pts=29 -> excess 0 EXACT
[sweep r=4 d=4] lam=(9, 4, 2, 1) a4=1 mult_R=1 B_full=5 T=1 [1, 1] pts=29 -> excess 0 EXACT
[sweep r=4 d=4] lam=(8, 8, 0, 0) a4=1 mult_R=1 B_full=4 T=1 [1, 1] pts=28 -> excess 0 EXACT
[sweep r=4 d=4] lam=(8, 6, 2, 0) a4=2 mult_R=2 B_full=8 T=2 [2, 2] pts=31 -> excess 0 EXACT
[sweep r=4 d=4] lam=(8, 5, 2, 1) a4=1 mult_R=1 B_full=5 T=1 [1, 1] pts=29 -> excess 0 EXACT
[sweep r=4 d=4] lam=(8, 4, 4, 0) a4=2 mult_R=2 B_full=4 T=2 [2, 2] pts=27 -> excess 0 EXACT
[sweep r=4 d=4] lam=(8, 4, 2, 2) a4=1 mult_R=1 B_full=5 T=1 [1, 1] pts=29 -> excess 0 EXACT
[sweep r=4 d=4] lam=(7, 7, 1, 1) a4=1 mult_R=1 B_full=1 T=1 [1, 1] pts=25 -> excess 0 EXACT
[sweep r=4 d=4] lam=(7, 6, 3, 0) a4=1 mult_R=1 B_full=6 T=1 [1, 1] pts=30 -> excess 0 EXACT
[sweep r=4 d=4] lam=(7, 5, 3, 1) a4=1 mult_R=1 B_full=4 T=1 [1, 1] pts=28 -> excess 0 EXACT
[sweep r=4 d=4] lam=(7, 4, 4, 1) a4=1 mult_R=1 B_full=4 T=1 [1, 1] pts=28 -> excess 0 EXACT
