delta,lam,ell,a,m_det,class,margin
8,13|9|3|3|3|1,6,4,7603,silent,7599
8,13|9|3|3|2|2,6,10,8797,silent,8787
8,13|8|8|1|1|1,6,3,918,silent,915
8,13|8|7|2|1|1,6,31,8225,silent,8194
8,13|8|6|3|1|1,6,53,21704,silent,21651
8,13|8|6|2|2|1,6,57,19613,silent,19556
8,13|8|5|4|1|1,6,55,22991,silent,22936
8,13|8|5|3|2|1,6,82,46630,silent,46548
8,13|8|5|2|2|2,6,32,16697,silent,16665
8,13|8|4|4|2|1,6,55,28296,silent,28241
8,13|8|4|3|3|1,6,22,25724,silent,25702
8,13|8|4|3|2|2,6,32,28520,silent,28488
8,13|8|3|3|3|2,6,1,10230,silent,10229
8,13|7|7|3|1|1,6,27,10055,silent,10028
8,13|7|7|2|2|1,6,20,8664,silent,8644
8,13|7|6|4|1|1,6,44,20897,silent,20853
8,13|7|6|3|2|1,6,62,39476,silent,39414
8,13|7|6|2|2|2,6,23,13681,silent,13658
8,13|7|5|5|1|1,6,22,12205,silent,12183
8,13|7|5|4|2|1,6,72,49771,silent,49699
8,13|7|5|3|3|1,6,31,37020,silent,36989
8,13|7|5|3|2|2,6,33,39165,silent,39132
8,13|7|4|4|3|1,6,34,28873,silent,28839
8,13|7|4|4|2|2,6,27,26022,silent,25995
8,13|7|4|3|3|2,6,10,29639,silent,29629
8,13|7|3|3|3|3,6,0,-1,a0,
8,13|6|6|5|1|1,6,10,7698,silent,7688
8,13|6|6|4|2|1,6,38,26333,silent,26295
8,13|6|6|3|3|1,6,11,18202,silent,18191
8,13|6|6|3|2|2,6,20,19635,silent,19615
8,13|6|5|5|2|1,6,19,19473,silent,19454
8,13|6|5|4|3|1,6,33,37989,silent,37956
8,13|6|5|4|2|2,6,27,32831,silent,32804
8,13|6|5|3|3|2,6,9,30901,silent,30892
8,13|6|4|4|4|1,6,17,10737,silent,10720
8,13|6|4|4|3|2,6,17,27405,silent,27388
8,13|6|4|3|3|3,6,0,-1,a0,
8,13|5|5|5|3|1,6,6,9051,silent,9045
8,13|5|5|5|2|2,6,1,6976,silent,6975
8,13|5|5|4|4|1,6,6,8151,silent,8145
8,13|5|5|4|3|2,6,8,19738,silent,19730
