    ...632 weights scanned, 590 kept
    ...634 weights scanned, 592 kept
    ...636 weights scanned, 594 kept
    ...638 weights scanned, 596 kept
    ...640 weights scanned, 598 kept
    ...642 weights scanned, 600 kept
    ...644 weights scanned, 602 kept
    ...646 weights scanned, 604 kept
    ...648 weights scanned, 606 kept
    ...650 weights scanned, 608 kept
    ...652 weights scanned, 610 kept
    ...654 weights scanned, 612 kept
    ...656 weights scanned, 614 kept
    ...658 weights scanned, 616 kept
    ...660 weights scanned, 618 kept
    ...662 weights scanned, 620 kept
    ...664 weights scanned, 622 kept
    ...666 weights scanned, 624 kept
    ...668 weights scanned, 626 kept
    ...670 weights scanned, 628 kept
    ...672 weights scanned, 630 kept
    ...674 weights scanned, 632 kept
    ...676 weights scanned, 634 kept
    ...678 weights scanned, 636 kept
    ...680 weights scanned, 638 kept
    ...682 weights scanned, 640 kept
    ...684 weights scanned, 642 kept
    ...686 weights scanned, 644 kept
    ...688 weights scanned, 646 kept
    ...690 weights scanned, 648 kept
    ...692 weights scanned, 650 kept
    ...694 weights scanned, 652 kept
    ...696 weights scanned, 654 kept
    ...698 weights scanned, 656 kept
    ...700 weights scanned, 658 kept
    ...702 weights scanned, 660 kept
    ...704 weights scanned, 662 kept
    ...706 weights scanned, 664 kept
    ...708 weights scanned, 666 kept
    ...710 weights scanned, 668 kept
    ...712 weights scanned, 670 kept
    ...714 weights scanned, 672 kept
    ...716 weights scanned, 674 kept
    ...718 weights scanned, 676 kept
    ...720 weights scanned, 678 kept
    ...722 weights scanned, 680 kept
    ...724 weights scanned, 682 kept
    ...726 weights scanned, 684 kept
    ...728 weights scanned, 686 kept
    ...730 weights scanned, 688 kept
    ...732 weights scanned, 690 kept
    ...734 weights scanned, 692 kept
    ...736 weights scanned, 694 kept
    ...738 weights scanned, 696 kept
    ...740 weights scanned, 698 kept
    ...742 weights scanned, 700 kept
    ...744 weights scanned, 702 kept
    ...746 weights scanned, 704 kept
    ...748 weights scanned, 706 kept
    ...750 weights scanned, 708 kept
    ...752 weights scanned, 710 kept
    ...754 weights scanned, 712 kept
    ...756 weights scanned, 714 kept
    ...758 weights scanned, 716 kept
    ...760 weights scanned, 718 kept
    ...762 weights scanned, 720 kept
    ...764 weights scanned, 722 kept
    ...766 weights scanned, 724 kept
    ...768 weights scanned, 726 kept
    ...770 weights scanned, 728 kept
    ...772 weights scanned, 730 kept
    ...774 weights scanned, 732 kept
    ...776 weights scanned, 734 kept
    ...778 weights scanned, 736 kept
    ...780 weights scanned, 738 kept
    ...782 weights scanned, 740 kept
    ...784 weights scanned, 742 kept
    ...786 weights scanned, 744 kept
    ...788 weights scanned, 746 kept
    ...790 weights scanned, 748 kept
    ...792 weights scanned, 750 kept
    ...794 weights scanned, 752 kept
    ...796 weights scanned, 754 kept
    ...798 weights scanned, 756 kept
    ...800 weights scanned, 758 kept
    ...802 weights scanned, 760 kept
    ...804 weights scanned, 762 kept
    ...806 weights scanned, 764 kept
    ...808 weights scanned, 766 kept
    ...810 weights scanned, 768 kept
    ...812 weights scanned, 770 kept
    ...814 weights scanned, 772 kept
    ...816 weights scanned, 774 kept
    ...818 weights scanned, 776 kept
    ...820 weights scanned, 778 kept
    ...822 weights scanned, 780 kept
    ...824 weights scanned, 782 kept
    ...826 weights scanned, 784 kept
    ...828 weights scanned, 786 kept
    ...830 weights scanned, 788 kept
    ...832 weights scanned, 790 kept
    ...834 weights scanned, 792 kept
    ...836 weights scanned, 794 kept
    ...838 weights scanned, 796 kept
    ...840 weights scanned, 798 kept
    ...842 weights scanned, 800 kept
    ...844 weights scanned, 802 kept
    ...846 weights scanned, 804 kept
    ...848 weights scanned, 806 kept
    ...850 weights scanned, 808 kept
    ...852 weights scanned, 810 kept
    ...854 weights scanned, 812 kept
    ...856 weights scanned, 814 kept
    ...858 weights scanned, 816 kept
    ...860 weights scanned, 818 kept
    ...862 weights scanned, 820 kept
    ...864 weights scanned, 822 kept
    ...866 weights scanned, 824 kept
    ...868 weights scanned, 826 kept
    ...870 weights scanned, 828 kept
    ...872 weights scanned, 830 kept
    ...874 weights scanned, 832 kept
    ...876 weights scanned, 834 kept
    ...878 weights scanned, 836 kept
    ...880 weights scanned, 838 kept
    ...882 weights scanned, 840 kept
    ...884 weights scanned, 842 kept
    ...886 weights scanned, 844 kept
    ...888 weights scanned, 846 kept
    ...890 weights scanned, 848 kept
    ...892 weights scanned, 850 kept
    ...894 weights scanned, 852 kept
    ...896 weights scanned, 854 kept
    ...898 weights scanned, 856 kept
    ...900 weights scanned, 858 kept
    ...902 weights scanned, 860 kept
    ...904 weights scanned, 862 kept
    ...906 weights scanned, 864 kept
    ...908 weights scanned, 866 kept
    ...910 weights scanned, 868 kept
    ...912 weights scanned, 870 kept
    ...914 weights scanned, 872 kept
    ...916 weights scanned, 874 kept
    ...918 weights scanned, 876 kept
    ...920 weights scanned, 878 kept
    ...922 weights scanned, 880 kept
    ...924 weights scanned, 882 kept
    ...926 weights scanned, 884 kept
    ...928 weights scanned, 886 kept
    ...930 weights scanned, 888 kept
    ...932 weights scanned, 890 kept
    ...934 weights scanned, 892 kept
    ...936 weights scanned, 894 kept
    ...938 weights scanned, 896 kept
    ...940 weights scanned, 898 kept
    ...942 weights scanned, 900 kept
    ...944 weights scanned, 902 kept
    ...946 weights scanned, 904 kept
    ...948 weights scanned, 906 kept
    ...950 weights scanned, 908 kept
    ...952 weights scanned, 910 kept
    ...954 weights scanned, 912 kept
    ...956 weights scanned, 914 kept
    ...958 weights scanned, 916 kept
    ...960 weights scanned, 918 kept
    ...962 weights scanned, 920 kept
    ...964 weights scanned, 922 kept
    ...966 weights scanned, 924 kept
    ...968 weights scanned, 926 kept
    ...970 weights scanned, 928 kept
    ...972 weights scanned, 930 kept
    ...974 weights scanned, 932 kept
    ...976 weights scanned, 934 kept
    ...978 weights scanned, 936 kept
    ...980 weights scanned, 938 kept
    ...982 weights scanned, 940 kept
    ...984 weights scanned, 942 kept
    ...986 weights scanned, 944 kept
    ...988 weights scanned, 946 kept
    ...990 weights scanned, 948 kept
    ...992 weights scanned, 950 kept
    ...994 weights scanned, 952 kept
    ...996 weights scanned, 954 kept
    ...998 weights scanned, 956 kept
    ...1000 weights scanned, 958 kept
    ...1002 weights scanned, 960 kept
    ...1004 weights scanned, 962 kept
    ...1006 weights scanned, 964 kept
    ...1008 weights scanned, 966 kept
    ...1010 weights scanned, 968 kept
    ...1012 weights scanned, 970 kept
    ...1014 weights scanned, 972 kept
    ...1016 weights scanned, 974 kept
    ...1018 weights scanned, 976 kept
    ...1020 weights scanned, 978 kept
    ...1022 weights scanned, 980 kept
    ...1024 weights scanned, 982 kept
    ...1026 weights scanned, 984 kept
    ...1028 weights scanned, 986 kept
    ...1030 weights scanned, 988 kept
    ...1032 weights scanned, 990 kept
    ...1034 weights scanned, 992 kept
    ...1036 weights scanned, 994 kept
    ...1038 weights scanned, 996 kept
    ...1040 weights scanned, 998 kept
    ...1042 weights scanned, 1000 kept
    ...1044 weights scanned, 1002 kept
    ...1046 weights scanned, 1004 kept
    ...1048 weights scanned, 1006 kept
    ...1050 weights scanned, 1008 kept
    ...1052 weights scanned, 1010 kept
    ...1054 weights scanned, 1012 kept
    ...1056 weights scanned, 1014 kept
    ...1058 weights scanned, 1016 kept
    ...1060 weights scanned, 1018 kept
    ...1062 weights scanned, 1020 kept
    ...1064 weights scanned, 1022 kept
    ...1066 weights scanned, 1024 kept
    ...1068 weights scanned, 1026 kept
    ...1070 weights scanned, 1028 kept
    ...1072 weights scanned, 1030 kept
    ...1074 weights scanned, 1032 kept
    ...1076 weights scanned, 1034 kept
    ...1078 weights scanned, 1036 kept
    ...1080 weights scanned, 1038 kept
    ...1082 weights scanned, 1040 kept
    ...1084 weights scanned, 1042 kept
    ...1086 weights scanned, 1044 kept
    ...1088 weights scanned, 1046 kept
    ...1090 weights scanned, 1048 kept
    ...1092 weights scanned, 1050 kept
    ...1094 weights scanned, 1052 kept
    ...1096 weights scanned, 1054 kept
    ...1098 weights scanned, 1056 kept
    ...1100 weights scanned, 1058 kept
    ...1102 weights scanned, 1060 kept
    ...1104 weights scanned, 1062 kept
    ...1106 weights scanned, 1064 kept
    ...1108 weights scanned, 1066 kept
    ...1110 weights scanned, 1068 kept
    ...1112 weights scanned, 1070 kept
    ...1114 weights scanned, 1072 kept
    ...1116 weights scanned, 1074 kept
