delta,lam,ell,a,m_det,det_units_lb
10,25|6|5|3|1,5,33,2290,-2257
10,17|15|6|1|1,5,65,2327,-2262
10,24|5|5|4|2,5,13,2304,-2291
10,16|16|5|2|1,5,54,2418,-2364
10,23|10|3|2|2,5,64,2440,-2376
10,16|15|7|1|1,5,54,2467,-2413
10,22|9|7|1|1,5,66,2494,-2428
10,16|16|4|3|1,5,41,2479,-2438
10,24|6|6|3|1,5,34,2480,-2446
10,24|8|3|3|2,5,21,2487,-2466
10,23|8|3|3|3,5,4,2472,-2468
10,23|7|7|2|1,5,49,2530,-2481
10,21|9|8|1|1,5,56,2547,-2491
10,25|7|4|3|1,5,48,2570,-2522
10,10|10|10|9|1,5,5,2529,-2524
10,22|10|6|1|1,5,70,2658,-2588
10,19|14|3|3|1,5,57,2693,-2636
10,13|12|12|2|1,5,22,2673,-2651
10,22|11|3|3|1,5,54,2708,-2654
10,15|12|11|1|1,5,36,2778,-2742
10,22|5|5|4|4,5,7,2760,-2753
10,19|14|3|2|2,5,77,2858,-2781
10,16|15|3|3|3,5,14,2809,-2795
10,12|12|12|3|1,5,11,2816,-2805
10,23|6|5|5|1,5,20,2848,-2828
10,22|11|3|2|2,5,75,2912,-2837
10,24|7|6|2|1,5,65,2942,-2877
10,24|9|4|2|1,5,91,3014,-2923
10,25|6|4|3|2,5,33,2965,-2932
10,21|12|3|3|1,5,60,2995,-2935
10,20|13|3|3|1,5,64,3015,-2951
10,24|6|4|3|3,5,10,2969,-2959
10,24|7|4|4|1,5,57,3117,-3060
10,20|13|3|2|2,5,84,3193,-3109
10,21|12|3|2|2,5,86,3217,-3131
10,22|5|5|5|3,5,7,3231,-3224
10,18|14|6|1|1,5,83,3315,-3232
10,15|14|9|1|1,5,53,3393,-3340
10,21|5|5|5|4,5,3,3364,-3361
10,21|11|6|1|1,5,97,3459,-3362
10,21|6|6|6|1,5,32,3425,-3393
10,24|6|5|4|1,5,45,3485,-3440
10,23|5|5|4|3,5,15,3587,-3572
10,18|15|4|2|1,5,113,3724,-3611
10,21|10|7|1|1,5,92,3780,-3688
10,23|9|3|3|2,5,38,3769,-3731
10,20|12|6|1|1,5,99,3853,-3754
10,24|8|4|2|2,5,87,3850,-3763
10,22|9|3|3|3,5,13,3819,-3806
10,19|10|9|1|1,5,71,3881,-3810
10,17|15|3|3|2,5,50,3865,-3815
10,19|13|6|1|1,5,108,3933,-3825
10,24|8|5|2|1,5,96,3936,-3840
10,24|6|4|4|2,5,55,3965,-3910
10,23|10|4|2|1,5,122,4042,-3920
10,24|7|5|2|2,5,61,4004,-3943
10,15|13|10|1|1,5,62,4088,-4026
10,20|10|8|1|1,5,82,4269,-4187
10,17|11|10|1|1,5,68,4263,-4195
10,22|6|4|4|4,5,42,4256,-4214
10,17|14|7|1|1,5,96,4396,-4300
10,24|8|4|3|1,5,79,4394,-4315
10,23|6|6|4|1,5,57,4406,-4349
10,16|14|8|1|1,5,73,4426,-4353
10,13|13|11|2|1,5,38,4647,-4609
10,19|14|4|2|1,5,150,4920,-4770
10,22|11|4|2|1,5,149,4919,-4770
10,22|7|7|2|2,5,45,4896,-4851
10,16|12|10|1|1,5,66,4925,-4859
10,20|11|7|1|1,5,122,4988,-4866
10,22|6|6|5|1,5,43,5012,-4969
10,22|10|3|3|2,5,50,5042,-4992
10,17|14|3|3|3,5,21,5059,-5038
10,9|8|8|8|7,5,2,5102,-5100
10,21|10|3|3|3,5,17,5167,-5150
10,24|7|5|3|1,5,82,5296,-5214
10,21|12|4|2|1,5,166,5465,-5299
10,20|13|4|2|1,5,167,5490,-5323
10,18|13|7|1|1,5,125,5510,-5385
10,23|6|4|4|3,5,42,5430,-5388
10,24|6|5|3|2,5,47,5483,-5436
10,17|15|4|2|2,5,100,5572,-5472
10,19|12|7|1|1,5,127,5621,-5494
10,23|9|4|2|2,5,114,5611,-5497
10,23|8|4|4|1,5,97,5596,-5499
10,18|14|3|3|2,5,62,5616,-5554
10,21|8|8|2|1,5,96,5746,-5650
10,23|7|6|2|2,5,83,5752,-5669
10,9|9|9|9|4,5,3,5675,-5672
10,18|11|9|1|1,5,106,5792,-5686
10,16|13|9|1|1,5,96,5805,-5709
10,19|11|8|1|1,5,120,5936,-5816
10,24|7|4|3|2,5,66,6047,-5981
10,23|8|6|2|1,5,132,6119,-5987
10,23|9|5|2|1,5,146,6147,-6001
10,21|11|3|3|2,5,70,6212,-6142
10,17|13|8|1|1,5,122,6328,-6206
10,20|11|3|3|3,5,25,6319,-6294
10,23|6|5|3|3,5,23,6324,-6301
10,23|6|6|3|2,5,61,6364,-6303
10,17|12|9|1|1,5,107,6541,-6434
10,18|13|3|3|3,5,30,6468,-6438
10,23|7|4|3|3,5,32,6523,-6491
10,18|12|8|1|1,5,118,6635,-6517
10,23|9|4|3|1,5,125,6716,-6591
10,16|15|4|4|1,5,92,6685,-6593
10,17|15|5|2|1,5,151,6769,-6618
10,19|13|3|3|2,5,80,6703,-6623
10,20|12|3|3|2,5,74,6761,-6687
10,19|12|3|3|3,5,28,6818,-6790
10,15|15|7|2|1,5,96,6932,-6836
10,17|15|4|3|1,5,131,7078,-6947
10,22|8|7|2|1,5,134,7211,-7077
10,22|7|7|3|1,5,93,7253,-7160
10,23|8|5|2|2,5,122,7538,-7416
10,22|6|6|3|3,5,25,7452,-7427
10,15|15|4|3|3,5,44,7518,-7474
10,22|10|4|2|2,5,163,7713,-7550
10,22|7|5|5|1,5,60,7696,-7636
10,23|7|6|3|1,5,110,7832,-7722
10,23|7|4|4|2,5,92,8350,-8258
10,22|6|5|5|2,5,32,8364,-8332
10,22|10|5|2|1,5,202,8574,-8372
10,18|14|4|2|2,5,175,8565,-8390
10,23|7|5|4|1,5,105,8522,-8417
10,22|9|4|4|1,5,142,8725,-8583
10,12|9|9|9|1,5,11,8620,-8609
10,16|15|6|2|1,5,154,8847,-8693
10,15|15|6|2|2,5,79,8794,-8715
10,15|11|11|2|1,5,81,9001,-8920
10,22|10|4|3|1,5,166,9161,-8995
10,21|11|4|2|2,5,180,9201,-9021
10,14|14|9|2|1,5,96,9215,-9119
10,16|15|5|2|2,5,125,9292,-9167
10,15|15|4|4|2,5,58,9285,-9227
10,23|6|5|4|2,5,75,9541,-9466
10,19|9|9|2|1,5,119,9596,-9477
10,21|7|4|4|4,5,61,9601,-9540
10,19|13|4|2|2,5,187,9857,-9670
10,23|8|5|3|1,5,147,9929,-9782
10,16|6|6|6|6,5,26,9821,-9795
10,18|14|5|2|1,5,227,10043,-9816
10,19|6|5|5|5,5,5,9844,-9839
10,20|12|4|2|2,5,211,10277,-10066
10,22|9|6|2|1,5,209,10291,-10082
10,18|7|7|7|1,5,38,10172,-10134
10,11|10|9|9|1,5,15,10227,-10212
10,18|14|4|3|1,5,186,10443,-10257
10,11|11|11|6|1,5,22,10322,-10300
10,21|11|5|2|1,5,247,10634,-10387
10,23|8|4|3|2,5,117,10671,-10554
10,10|10|9|9|2,5,5,10629,-10624
10,14|12|11|2|1,5,95,10805,-10710
10,12|7|7|7|7,5,8,10740,-10732
10,20|6|6|6|2,5,68,10997,-10929
10,21|11|4|3|1,5,209,11288,-11079
10,19|13|5|2|1,5,266,11720,-11454
10,15|15|5|4|1,5,107,11603,-11496
10,14|14|4|4|4,5,55,11603,-11548
10,20|12|5|2|1,5,273,11872,-11599
10,22|9|5|2|2,5,177,11870,-11693
10,22|8|4|3|3,5,51,11766,-11715
10,20|8|8|2|2,5,140,11993,-11853
10,17|10|10|2|1,5,133,12022,-11889
10,21|10|4|4|1,5,189,12096,-11907
10,17|14|4|4|1,5,168,12101,-11933
10,19|13|4|3|1,5,227,12296,-12069
10,22|7|4|4|3,5,80,12249,-12169
10,22|8|6|2|2,5,181,12362,-12181
10,16|15|4|3|2,5,124,12334,-12210
10,20|12|4|3|1,5,224,12456,-12232
10,13|12|11|2|2,5,67,12516,-12449
10,21|6|5|4|4,5,52,12644,-12592
10,13|13|10|2|2,5,56,12653,-12597
10,9|9|8|7|7,5,7,12623,-12616
10,22|6|6|4|2,5,109,12773,-12664
10,16|15|5|3|1,5,172,12849,-12677
10,15|15|6|3|1,5,142,13062,-12920
10,23|7|5|3|2,5,112,13088,-12976
10,14|11|11|2|2,5,56,13181,-13125
10,20|7|6|6|1,5,89,13333,-13244
10,21|9|7|2|1,5,233,13673,-13440
10,21|7|7|4|1,5,126,14189,-14063
10,20|9|8|2|1,5,211,14275,-14064
10,14|13|10|2|1,5,134,14346,-14212
10,22|7|6|4|1,5,159,14451,-14292
10,21|8|7|2|2,5,163,14569,-14406
10,10|9|9|9|3,5,8,14564,-14556
10,20|11|4|4|1,5,220,14842,-14622
10,21|10|6|2|1,5,293,14921,-14628
10,22|6|5|4|3,5,66,14939,-14873
10,18|13|4|4|1,5,217,15344,-15127
10,21|6|5|5|3,5,35,15307,-15272
10,22|8|4|4|2,5,168,15449,-15281
10,21|6|6|5|2,5,83,15427,-15344
10,17|14|6|2|1,5,284,15951,-15667
10,21|8|5|5|1,5,118,15849,-15731
10,22|7|5|3|3,5,71,15809,-15738
10,22|9|5|3|1,5,233,15984,-15751
10,10|10|10|8|2,5,29,15831,-15802
10,11|9|9|9|2,5,14,15837,-15823
10,11|10|10|8|1,5,33,15935,-15902
10,19|12|4|4|1,5,236,16190,-15954
10,12|12|11|4|1,5,66,16203,-16137
10,22|9|4|3|2,5,176,16467,-16291
10,21|10|5|2|2,5,249,16685,-16436
10,22|8|5|4|1,5,198,16710,-16512
10,22|8|6|3|1,5,219,16776,-16557
10,17|14|5|2|2,5,231,16844,-16613
10,20|8|8|3|1,5,163,16884,-16721
10,9|9|8|8|6,5,3,16834,-16831
10,15|15|5|3|2,5,129,16979,-16850
10,15|14|8|2|1,5,203,17073,-16870
10,20|6|5|5|4,5,25,17001,-16976
10,14|14|8|2|2,5,142,17274,-17132
10,15|8|8|8|1,5,55,17463,-17408
10,21|7|6|5|1,5,136,17837,-17701
10,9|9|9|8|5,5,6,18116,-18110
10,20|8|4|4|4,5,113,18506,-18393
10,20|11|6|2|1,5,357,18831,-18474
10,18|9|9|2|2,5,119,18606,-18487
10,10|8|8|7|7,5,1,18501,-18500
10,21|9|4|3|3,5,94,18715,-18621
10,20|6|6|4|4,5,83,18862,-18779
10,21|7|7|3|2,5,123,19021,-18898
10,13|12|11|3|1,5,105,19089,-18984
10,19|7|7|6|1,5,93,19104,-19011
10,16|14|7|2|1,5,275,19290,-19015
10,13|13|10|3|1,5,120,19748,-19628
10,20|7|7|5|1,5,126,19782,-19656
10,18|13|6|2|1,5,362,20066,-19704
10,12|12|11|3|2,5,66,19841,-19775
10,9|9|9|7|6,5,9,20067,-20058
10,22|7|6|3|2,5,164,20288,-20124
10,20|11|5|2|2,5,290,20494,-20204
