delta,lam,ell,a,m_det,class,margin
12,26|4|3|3|2|2|2|2|2|2,10,0,-1,a0,
12,26|3|3|3|3|3|3|2|1|1,10,0,-1,a0,
12,26|3|3|3|3|3|2|2|2|1,10,0,-1,a0,
12,26|3|3|3|3|2|2|2|2|2,10,0,-1,a0,
12,25|15|1|1|1|1|1|1|1|1,10,0,-1,a0,
12,25|14|2|1|1|1|1|1|1|1,10,0,-1,a0,
12,25|13|3|1|1|1|1|1|1|1,10,0,-1,a0,
12,25|13|2|2|1|1|1|1|1|1,10,0,-1,a0,
12,25|12|4|1|1|1|1|1|1|1,10,0,-1,a0,
12,25|12|3|2|1|1|1|1|1|1,10,0,-1,a0,
12,25|12|2|2|2|1|1|1|1|1,10,0,-1,a0,
12,25|11|5|1|1|1|1|1|1|1,10,0,-1,a0,
12,25|11|4|2|1|1|1|1|1|1,10,0,-1,a0,
12,25|11|3|3|1|1|1|1|1|1,10,0,-1,a0,
12,25|11|3|2|2|1|1|1|1|1,10,0,-1,a0,
12,25|11|2|2|2|2|1|1|1|1,10,0,-1,a0,
12,25|10|6|1|1|1|1|1|1|1,10,0,-1,a0,
12,25|10|5|2|1|1|1|1|1|1,10,0,-1,a0,
12,25|10|4|3|1|1|1|1|1|1,10,0,-1,a0,
12,25|10|4|2|2|1|1|1|1|1,10,0,-1,a0,
12,25|10|3|3|2|1|1|1|1|1,10,0,-1,a0,
12,25|10|3|2|2|2|1|1|1|1,10,0,-1,a0,
12,25|10|2|2|2|2|2|1|1|1,10,0,-1,a0,
12,25|9|7|1|1|1|1|1|1|1,10,0,-1,a0,
12,25|9|6|2|1|1|1|1|1|1,10,0,-1,a0,
12,25|9|5|3|1|1|1|1|1|1,10,0,-1,a0,
12,25|9|5|2|2|1|1|1|1|1,10,0,-1,a0,
12,25|9|4|4|1|1|1|1|1|1,10,0,-1,a0,
12,25|9|4|3|2|1|1|1|1|1,10,0,-1,a0,
12,25|9|4|2|2|2|1|1|1|1,10,0,-1,a0,
12,25|9|3|3|3|1|1|1|1|1,10,0,-1,a0,
12,25|9|3|3|2|2|1|1|1|1,10,1,168190,silent,168189
12,25|9|3|2|2|2|2|1|1|1,10,2,77978,silent,77976
12,25|9|2|2|2|2|2|2|1|1,10,3,11489,silent,11486
12,25|8|8|1|1|1|1|1|1|1,10,0,-1,a0,
12,25|8|7|2|1|1|1|1|1|1,10,0,-1,a0,
12,25|8|6|3|1|1|1|1|1|1,10,0,-1,a0,
12,25|8|6|2|2|1|1|1|1|1,10,0,-1,a0,
12,25|8|5|4|1|1|1|1|1|1,10,0,-1,a0,
12,25|8|5|3|2|1|1|1|1|1,10,0,-1,a0,
12,25|8|5|2|2|2|1|1|1|1,10,1,281364,silent,281363
12,25|8|4|4|2|1|1|1|1|1,10,0,-1,a0,
12,25|8|4|3|3|1|1|1|1|1,10,0,-1,a0,
12,25|8|4|3|2|2|1|1|1|1,10,1,492197,silent,492196
12,25|8|4|2|2|2|2|1|1|1,10,3,176879,silent,176876
12,25|8|3|3|3|2|1|1|1|1,10,2,189653,silent,189651
12,25|8|3|3|2|2|2|1|1|1,10,6,164197,silent,164191
12,25|8|3|2|2|2|2|2|1|1,10,10,53884,silent,53874
12,25|8|2|2|2|2|2|2|2|1,10,9,6061,silent,6052
12,25|7|7|3|1|1|1|1|1|1,10,0,-1,a0,
12,25|7|7|2|2|1|1|1|1|1,10,0,-1,a0,
12,25|7|6|4|1|1|1|1|1|1,10,0,-1,a0,
12,25|7|6|3|2|1|1|1|1|1,10,0,-1,a0,
12,25|7|6|2|2|2|1|1|1|1,10,0,-1,a0,
12,25|7|5|5|1|1|1|1|1|1,10,0,-1,a0,
12,25|7|5|4|2|1|1|1|1|1,10,0,-1,a0,
12,25|7|5|3|3|1|1|1|1|1,10,1,435682,silent,435681
12,25|7|5|3|2|2|1|1|1|1,10,3,647474,silent,647471
12,25|7|5|2|2|2|2|1|1|1,10,7,214419,silent,214412
12,25|7|4|4|3|1|1|1|1|1,10,0,-1,a0,
12,25|7|4|4|2|2|1|1|1|1,10,0,-1,a0,
