delta,lam,ell,a,m_det,class,margin
12,28|4|4|2|2|2|2|2|1|1,10,0,-1,a0,
12,28|4|3|3|3|3|1|1|1|1,10,0,-1,a0,
12,28|4|3|3|3|2|2|1|1|1,10,0,-1,a0,
12,28|4|3|3|2|2|2|2|1|1,10,0,-1,a0,
12,28|4|3|2|2|2|2|2|2|1,10,1,1510,silent,1509
12,28|4|2|2|2|2|2|2|2|2,10,3,206,silent,203
12,28|3|3|3|3|3|2|1|1|1,10,0,-1,a0,
12,28|3|3|3|3|2|2|2|1|1,10,0,-1,a0,
12,28|3|3|3|2|2|2|2|2|1,10,0,-1,a0,
12,28|3|3|2|2|2|2|2|2|2,10,0,-1,a0,
12,27|13|1|1|1|1|1|1|1|1,10,0,-1,a0,
12,27|12|2|1|1|1|1|1|1|1,10,0,-1,a0,
12,27|11|3|1|1|1|1|1|1|1,10,0,-1,a0,
12,27|11|2|2|1|1|1|1|1|1,10,0,-1,a0,
12,27|10|4|1|1|1|1|1|1|1,10,0,-1,a0,
12,27|10|3|2|1|1|1|1|1|1,10,0,-1,a0,
12,27|10|2|2|2|1|1|1|1|1,10,0,-1,a0,
12,27|9|5|1|1|1|1|1|1|1,10,0,-1,a0,
12,27|9|4|2|1|1|1|1|1|1,10,0,-1,a0,
12,27|9|3|3|1|1|1|1|1|1,10,0,-1,a0,
12,27|9|3|2|2|1|1|1|1|1,10,0,-1,a0,
12,27|9|2|2|2|2|1|1|1|1,10,0,-1,a0,
12,27|8|6|1|1|1|1|1|1|1,10,0,-1,a0,
12,27|8|5|2|1|1|1|1|1|1,10,0,-1,a0,
12,27|8|4|3|1|1|1|1|1|1,10,0,-1,a0,
12,27|8|4|2|2|1|1|1|1|1,10,0,-1,a0,
12,27|8|3|3|2|1|1|1|1|1,10,0,-1,a0,
12,27|8|3|2|2|2|1|1|1|1,10,0,-1,a0,
12,27|8|2|2|2|2|2|1|1|1,10,0,-1,a0,
12,27|7|7|1|1|1|1|1|1|1,10,0,-1,a0,
12,27|7|6|2|1|1|1|1|1|1,10,0,-1,a0,
12,27|7|5|3|1|1|1|1|1|1,10,0,-1,a0,
12,27|7|5|2|2|1|1|1|1|1,10,0,-1,a0,
12,27|7|4|4|1|1|1|1|1|1,10,0,-1,a0,
12,27|7|4|3|2|1|1|1|1|1,10,0,-1,a0,
12,27|7|4|2|2|2|1|1|1|1,10,0,-1,a0,
12,27|7|3|3|3|1|1|1|1|1,10,0,-1,a0,
12,27|7|3|3|2|2|1|1|1|1,10,0,-1,a0,
12,27|7|3|2|2|2|2|1|1|1,10,0,-1,a0,
12,27|7|2|2|2|2|2|2|1|1,10,1,4378,silent,4377
12,27|6|6|3|1|1|1|1|1|1,10,0,-1,a0,
12,27|6|6|2|2|1|1|1|1|1,10,0,-1,a0,
12,27|6|5|4|1|1|1|1|1|1,10,0,-1,a0,
12,27|6|5|3|2|1|1|1|1|1,10,0,-1,a0,
12,27|6|5|2|2|2|1|1|1|1,10,0,-1,a0,
12,27|6|4|4|2|1|1|1|1|1,10,0,-1,a0,
12,27|6|4|3|3|1|1|1|1|1,10,0,-1,a0,
12,27|6|4|3|2|2|1|1|1|1,10,0,-1,a0,
12,27|6|4|2|2|2|2|1|1|1,10,0,-1,a0,
12,27|6|3|3|3|2|1|1|1|1,10,0,-1,a0,
12,27|6|3|3|2|2|2|1|1|1,10,1,42403,silent,42402
12,27|6|3|2|2|2|2|2|1|1,10,2,14862,silent,14860
12,27|6|2|2|2|2|2|2|2|1,10,4,1877,silent,1873
12,27|5|5|5|1|1|1|1|1|1,10,0,-1,a0,
12,27|5|5|4|2|1|1|1|1|1,10,0,-1,a0,
12,27|5|5|3|3|1|1|1|1|1,10,0,-1,a0,
12,27|5|5|3|2|2|1|1|1|1,10,0,-1,a0,
12,27|5|5|2|2|2|2|1|1|1,10,1,22153,silent,22152
12,27|5|4|4|3|1|1|1|1|1,10,0,-1,a0,
12,27|5|4|4|2|2|1|1|1|1,10,0,-1,a0,
12,27|5|4|3|3|2|1|1|1|1,10,0,-1,a0,
12,27|5|4|3|2|2|2|1|1|1,10,0,-1,a0,
12,27|5|4|2|2|2|2|2|1|1,10,2,16655,silent,16653
12,27|5|3|3|3|3|1|1|1|1,10,0,-1,a0,
12,27|5|3|3|3|2|2|1|1|1,10,0,-1,a0,
12,27|5|3|3|2|2|2|2|1|1,10,1,18472,silent,18471
12,27|5|3|2|2|2|2|2|2|1,10,4,4831,silent,4827
12,27|5|2|2|2|2|2|2|2|2,10,3,471,silent,468
12,27|4|4|4|4|1|1|1|1|1,10,0,-1,a0,
12,27|4|4|4|3|2|1|1|1|1,10,0,-1,a0,
12,27|4|4|4|2|2|2|1|1|1,10,0,-1,a0,
12,27|4|4|3|3|3|1|1|1|1,10,0,-1,a0,
12,27|4|4|3|3|2|2|1|1|1,10,0,-1,a0,
12,27|4|4|3|2|2|2|2|1|1,10,0,-1,a0,
12,27|4|4|2|2|2|2|2|2|1,10,3,3059,silent,3056
