delta,lam,ell,a,m_det,class,margin
10,22|7|4|3|1|1|1|1,8,0,-1,a0,
10,22|7|4|2|2|1|1|1,8,1,25267,silent,25266
10,22|7|3|3|2|1|1|1,8,2,21236,silent,21234
10,22|7|3|2|2|2|1|1,8,6,14617,silent,14611
10,22|7|2|2|2|2|2|1,8,6,2804,silent,2798
10,22|6|6|2|1|1|1|1,8,0,-1,a0,
10,22|6|5|3|1|1|1|1,8,1,21018,silent,21017
10,22|6|5|2|2|1|1|1,8,2,21988,silent,21986
10,22|6|4|4|1|1|1|1,8,0,-1,a0,
10,22|6|4|3|2|1|1|1,8,2,39969,silent,39967
10,22|6|4|2|2|2|1|1,8,5,21549,silent,21544
10,22|6|3|3|3|1|1|1,8,1,12706,silent,12705
10,22|6|3|3|2|2|1|1,8,4,20789,silent,20785
10,22|6|3|2|2|2|2|1,8,8,8842,silent,8834
10,22|6|2|2|2|2|2|2,8,7,1212,silent,1205
10,22|5|5|4|1|1|1|1,8,0,-1,a0,
10,22|5|5|3|2|1|1|1,8,2,21737,silent,21735
10,22|5|5|2|2|2|1|1,8,5,11318,silent,11313
10,22|5|4|4|2|1|1|1,8,0,-1,a0,
10,22|5|4|3|3|1|1|1,8,0,-1,a0,
10,22|5|4|3|2|2|1|1,8,4,28423,silent,28419
10,22|5|4|2|2|2|2|1,8,8,9746,silent,9738
10,22|5|3|3|3|2|1|1,8,0,-1,a0,
10,22|5|3|3|2|2|2|1,8,2,10169,silent,10167
10,22|5|3|2|2|2|2|2,8,3,2584,silent,2581
10,22|4|4|4|3|1|1|1,8,0,-1,a0,
10,22|4|4|4|2|2|1|1,8,0,-1,a0,
10,22|4|4|3|3|2|1|1,8,0,-1,a0,
10,22|4|4|3|2|2|2|1,8,2,7798,silent,7796
10,22|4|4|2|2|2|2|2,8,5,1805,silent,1800
10,22|4|3|3|3|3|1|1,8,0,-1,a0,
10,22|4|3|3|3|2|2|1,8,0,-1,a0,
10,22|4|3|3|2|2|2|2,8,0,-1,a0,
10,22|3|3|3|3|3|2|1,8,0,-1,a0,
10,22|3|3|3|3|2|2|2,8,0,-1,a0,
10,21|13|1|1|1|1|1|1,8,0,-1,a0,
10,21|12|2|1|1|1|1|1,8,0,-1,a0,
10,21|11|3|1|1|1|1|1,8,0,-1,a0,
10,21|11|2|2|1|1|1|1,8,0,-1,a0,
10,21|10|4|1|1|1|1|1,8,0,-1,a0,
10,21|10|3|2|1|1|1|1,8,0,-1,a0,
10,21|10|2|2|2|1|1|1,8,0,-1,a0,
10,21|9|5|1|1|1|1|1,8,0,-1,a0,
10,21|9|4|2|1|1|1|1,8,0,-1,a0,
10,21|9|3|3|1|1|1|1,8,1,14821,silent,14820
10,21|9|3|2|2|1|1|1,8,2,20454,silent,20452
10,21|9|2|2|2|2|1|1,8,3,5475,silent,5472
10,21|8|6|1|1|1|1|1,8,0,-1,a0,
10,21|8|5|2|1|1|1|1,8,1,32581,silent,32580
10,21|8|4|3|1|1|1|1,8,1,40303,silent,40302
10,21|8|4|2|2|1|1|1,8,3,44007,silent,44004
10,21|8|3|3|2|1|1|1,8,5,36150,silent,36145
10,21|8|3|2|2|2|1|1,8,10,24384,silent,24374
10,21|8|2|2|2|2|2|1,8,9,4539,silent,4530
10,21|7|7|1|1|1|1|1,8,0,-1,a0,
10,21|7|6|2|1|1|1|1,8,0,-1,a0,
10,21|7|5|3|1|1|1|1,8,2,50460,silent,50458
10,21|7|5|2|2|1|1|1,8,7,52038,silent,52031
10,21|7|4|4|1|1|1|1,8,0,-1,a0,
10,21|7|4|3|2|1|1|1,8,7,86016,silent,86009
10,21|7|4|2|2|2|1|1,8,15,45774,silent,45759
10,21|7|3|3|3|1|1|1,8,3,26051,silent,26048
10,21|7|3|3|2|2|1|1,8,9,41760,silent,41751
10,21|7|3|2|2|2|2|1,8,15,17325,silent,17310
10,21|7|2|2|2|2|2|2,8,7,2090,silent,2083
10,21|6|6|3|1|1|1|1,8,2,24080,silent,24078
10,21|6|6|2|2|1|1|1,8,1,23709,silent,23708
10,21|6|5|4|1|1|1|1,8,2,34976,silent,34974
10,21|6|5|3|2|1|1|1,8,10,81959,silent,81949
10,21|6|5|2|2|2|1|1,8,12,40621,silent,40609
10,21|6|4|4|2|1|1|1,8,1,55287,silent,55286
10,21|6|4|3|3|1|1|1,8,4,54727,silent,54723
10,21|6|4|3|2|2|1|1,8,13,80630,silent,80617
10,21|6|4|2|2|2|2|1,8,19,26593,silent,26574
10,21|6|3|3|3|2|1|1,8,2,33009,silent,33007
10,21|6|3|3|2|2|2|1,8,5,25598,silent,25593
10,21|6|3|2|2|2|2|2,8,8,6327,silent,6319
10,21|5|5|5|1|1|1|1,8,1,6919,silent,6918
10,21|5|5|4|2|1|1|1,8,5,37787,silent,37782
10,21|5|5|3|3|1|1|1,8,1,30522,silent,30521
10,21|5|5|3|2|2|1|1,8,9,44712,silent,44703
10,21|5|5|2|2|2|2|1,8,6,13536,silent,13530
10,21|5|4|4|3|1|1|1,8,0,-1,a0,
10,21|5|4|4|2|2|1|1,8,5,38785,silent,38780
10,21|5|4|3|3|2|1|1,8,2,49998,silent,49996
10,21|5|4|3|2|2|2|1,8,10,36172,silent,36162
10,21|5|4|2|2|2|2|2,8,7,7105,silent,7098
10,21|5|3|3|3|3|1|1,8,0,-1,a0,
10,21|5|3|3|3|2|2|1,8,0,-1,a0,
10,21|5|3|3|2|2|2|2,8,1,7189,silent,7188
10,21|4|4|4|4|1|1|1,8,0,-1,a0,
10,21|4|4|4|3|2|1|1,8,0,-1,a0,
10,21|4|4|4|2|2|2|1,8,4,9830,silent,9826
10,21|4|4|3|3|3|1|1,8,0,-1,a0,
10,21|4|4|3|3|2|2|1,8,0,-1,a0,
10,21|4|4|3|2|2|2|2,8,3,5825,silent,5822
10,21|4|3|3|3|3|2|1,8,0,-1,a0,
10,21|4|3|3|3|2|2|2,8,0,-1,a0,
10,21|3|3|3|3|3|3|1,8,0,-1,a0,
10,21|3|3|3|3|3|2|2,8,0,-1,a0,
10,20|14|1|1|1|1|1|1,8,0,-1,a0,
10,20|13|2|1|1|1|1|1,8,0,-1,a0,
10,20|12|3|1|1|1|1|1,8,0,-1,a0,
10,20|12|2|2|1|1|1|1,8,0,-1,a0,
10,20|11|4|1|1|1|1|1,8,0,-1,a0,
10,20|11|3|2|1|1|1|1,8,0,-1,a0,
10,20|11|2|2|2|1|1|1,8,0,-1,a0,
10,20|10|5|1|1|1|1|1,8,0,-1,a0,
10,20|10|4|2|1|1|1|1,8,1,31039,silent,31038
10,20|10|3|3|1|1|1|1,8,1,19426,silent,19425
10,20|10|3|2|2|1|1|1,8,4,26642,silent,26638
10,20|10|2|2|2|2|1|1,8,3,6960,silent,6957
10,20|9|6|1|1|1|1|1,8,0,-1,a0,
10,20|9|5|2|1|1|1|1,8,2,50916,silent,50914
10,20|9|4|3|1|1|1|1,8,3,61357,silent,61354
10,20|9|4|2|2|1|1|1,8,8,66641,silent,66633
10,20|9|3|3|2|1|1|1,8,10,53868,silent,53858
10,20|9|3|2|2|2|1|1,8,16,35961,silent,35945
10,20|9|2|2|2|2|2|1,8,12,6506,silent,6494
10,20|8|7|1|1|1|1|1,8,0,-1,a0,
10,20|8|6|2|1|1|1|1,8,3,52431,silent,52428
10,20|8|5|3|1|1|1|1,8,7,95888,silent,95881
10,20|8|5|2|2|1|1|1,8,15,97441,silent,97426
10,20|8|4|4|1|1|1|1,8,2,54186,silent,54184
10,20|8|4|3|2|1|1|1,8,18,154102,silent,154084
10,20|8|4|2|2|2|1|1,8,25,80499,silent,80474
10,20|8|3|3|3|1|1|1,8,5,45407,silent,45402
10,20|8|3|3|2|2|1|1,8,19,72025,silent,72006
10,20|8|3|2|2|2|2|1,8,23,29273,silent,29250
10,20|8|2|2|2|2|2|2,8,12,3460,silent,3448
10,20|7|7|2|1|1|1|1,8,0,-1,a0,
10,20|7|6|3|1|1|1|1,8,5,77299,silent,77294
10,20|7|6|2|2|1|1|1,8,10,76057,silent,76047
10,20|7|5|4|1|1|1|1,8,6,88180,silent,88174
10,20|7|5|3|2|1|1|1,8,28,201143,silent,201115
10,20|7|5|2|2|2|1|1,8,33,97940,silent,97907
10,20|7|4|4|2|1|1|1,8,9,125710,silent,125701
10,20|7|4|3|3|1|1|1,8,10,121115,silent,121105
10,20|7|4|3|2|2|1|1,8,34,176904,silent,176870
10,20|7|4|2|2|2|2|1,8,34,56589,silent,56555
10,20|7|3|3|3|2|1|1,8,5,68789,silent,68784
10,20|7|3|3|2|2|2|1,8,12,52541,silent,52529
10,20|7|3|2|2|2|2|2,8,11,12430,silent,12419
10,20|6|6|4|1|1|1|1,8,4,45549,silent,45545
