delta,lam,ell,a,m_det,class,margin
10,23|6|4|3|3|1,6,15,13391,silent,13376
10,23|6|4|3|2|2,6,37,14917,silent,14880
10,23|6|3|3|3|2,6,0,-1,a0,
10,23|5|5|5|1|1,6,9,2271,silent,2262
10,23|5|5|4|2|1,6,25,9732,silent,9707
10,23|5|5|3|3|1,6,12,7648,silent,7636
10,23|5|5|3|2|2,6,11,7829,silent,7818
10,23|5|4|4|3|1,6,19,7738,silent,7719
10,23|5|4|4|2|2,6,22,7209,silent,7187
10,23|5|4|3|3|2,6,4,8286,silent,8282
10,23|5|3|3|3|3,6,0,-1,a0,
10,23|4|4|4|4|1,6,7,1068,silent,1061
10,23|4|4|4|3|2,6,6,2793,silent,2787
10,23|4|4|3|3|3,6,0,-1,a0,
10,22|14|1|1|1|1,6,0,-1,a0,
10,22|13|2|1|1|1,6,0,-1,a0,
10,22|12|3|1|1|1,6,4,1098,silent,1094
10,22|12|2|2|1|1,6,5,840,silent,835
10,22|11|4|1|1|1,6,9,2532,silent,2523
10,22|11|3|2|1|1,6,28,4365,silent,4337
10,22|11|2|2|2|1,6,25,1727,silent,1702
10,22|10|5|1|1|1,6,19,4360,silent,4341
10,22|10|4|2|1|1,6,58,10666,silent,10608
10,22|10|3|3|1|1,6,32,6981,silent,6949
10,22|10|3|2|2|1,6,63,8220,silent,8157
10,22|10|2|2|2|2,6,31,1840,silent,1809
10,22|9|6|1|1|1,6,20,5019,silent,4999
10,22|9|5|2|1|1,6,93,17411,silent,17318
10,22|9|4|3|1|1,6,82,20021,silent,19939
10,22|9|4|2|2|1,6,122,19663,silent,19541
10,22|9|3|3|2|1,6,49,15173,silent,15124
10,22|9|3|2|2|2,6,49,7402,silent,7353
10,22|8|7|1|1|1,6,17,3530,silent,3513
10,22|8|6|2|1|1,6,74,17058,silent,16984
10,22|8|5|3|1|1,6,120,30687,silent,30567
10,22|8|5|2|2|1,6,138,27659,silent,27521
10,22|8|4|4|1|1,6,57,16167,silent,16110
10,22|8|4|3|2|1,6,140,41834,silent,41694
10,22|8|4|2|2|2,6,93,16417,silent,16324
10,22|8|3|3|3|1,6,12,11601,silent,11589
10,22|8|3|3|2|2,6,23,12903,silent,12880
10,22|7|7|2|1|1,6,40,7596,silent,7556
10,22|7|6|3|1|1,6,81,24050,silent,23969
10,22|7|6|2|2|1,6,97,21278,silent,21181
10,22|7|5|4|1|1,6,96,26864,silent,26768
10,22|7|5|3|2|1,6,153,53179,silent,53026
10,22|7|5|2|2|2,6,68,18456,silent,18388
10,22|7|4|4|2|1,6,109,32673,silent,32564
10,22|7|4|3|3|1,6,43,29449,silent,29406
10,22|7|4|3|2|2,6,75,32045,silent,31970
10,22|7|3|3|3|2,6,3,11435,silent,11432
10,22|6|6|4|1|1,6,32,13083,silent,13051
10,22|6|6|3|2|1,6,70,25160,silent,25090
10,22|6|6|2|2|2,6,47,9026,silent,8979
10,22|6|5|5|1|1,6,29,9701,silent,9672
10,22|6|5|4|2|1,6,105,39173,silent,39068
10,22|6|5|3|3|1,6,41,28998,silent,28957
10,22|6|5|3|2|2,6,57,30235,silent,30178
10,22|6|4|4|3|1,6,50,23755,silent,23705
10,22|6|4|4|2|2,6,66,21814,silent,21748
10,22|6|4|3|3|2,6,14,23891,silent,23877
10,22|6|3|3|3|3,6,0,-1,a0,
10,22|5|5|5|2|1,6,13,8077,silent,8064
10,22|5|5|4|3|1,6,31,16790,silent,16759
10,22|5|5|4|2|2,6,17,13898,silent,13881
10,22|5|5|3|3|2,6,12,13792,silent,13780
10,22|5|4|4|4|1,6,19,5821,silent,5802
10,22|5|4|4|3|2,6,22,14783,silent,14761
10,22|5|4|3|3|3,6,0,-1,a0,
10,22|4|4|4|4|2,6,13,2383,silent,2370
10,22|4|4|4|3|3,6,0,-1,a0,
10,21|15|1|1|1|1,6,0,-1,a0,
10,21|14|2|1|1|1,6,0,-1,a0,
10,21|13|3|1|1|1,6,3,1104,silent,1101
10,21|13|2|2|1|1,6,8,884,silent,876
10,21|12|4|1|1|1,6,11,2781,silent,2770
