delta,lam,ell,a,m_det,class,margin
12,27|6|6|5|2|1|1,7,107,173406,silent,173299
12,27|6|6|4|3|1|1,7,130,262566,silent,262436
12,27|6|6|4|2|2|1,7,205,269874,silent,269669
12,27|6|6|3|3|2|1,7,90,236671,silent,236581
12,27|6|6|3|2|2|2,7,96,120689,silent,120593
12,27|6|5|5|3|1|1,7,119,207976,silent,207857
12,27|6|5|5|2|2|1,7,108,198881,silent,198773
12,27|6|5|4|4|1|1,7,96,173679,silent,173583
12,27|6|5|4|3|2|1,7,219,497473,silent,497254
12,27|6|5|4|2|2|2,7,125,202378,silent,202253
12,27|6|5|3|3|3|1,7,24,172968,silent,172944
12,27|6|5|3|3|2|2,7,47,207492,silent,207445
12,27|6|4|4|4|2|1,7,96,150116,silent,150020
12,27|6|4|4|3|3|1,7,31,160111,silent,160080
12,27|6|4|4|3|2|2,7,79,184909,silent,184830
12,27|6|4|3|3|3|2,7,1,104774,silent,104773
12,27|6|3|3|3|3|3,7,0,-1,a0,
12,27|5|5|5|4|1|1,7,31,51132,silent,51101
12,27|5|5|5|3|2|1,7,38,115943,silent,115905
12,27|5|5|5|2|2|2,7,6,42742,silent,42736
12,27|5|5|4|4|2|1,7,51,113926,silent,113875
12,27|5|5|4|3|3|1,7,29,116448,silent,116419
12,27|5|5|4|3|2|2,7,36,130881,silent,130845
12,27|5|5|3|3|3|2,7,5,61709,silent,61704
